"year","month","ko_jp_gol","ko_pr_gol","ko_ch_gol"
2003,2,-3.25555555555556,1.70151515151515,-1.05
2003,3,-1.85789473684211,-1.44545454545455,1.65
2003,4,1.2,2.03690476190476,0.855555555555556
2003,5,1.53333333333333,2.01111111111111,-1
2003,6,2.23125,2.26896551724138,0.0833333333333334
2003,7,-0.169230769230769,-0.670833333333333,3.28
2003,8,-1.48666666666667,2.59310344827586,1.25882352941176
2003,9,1.23571428571429,-1.35,-0.416666666666667
2003,10,4.17142857142857,1.98125,0.771428571428571
2003,11,0.966666666666667,1.13636363636364,2.14
2003,12,1.72727272727273,2.34545454545455,2.06153846153846
2004,1,-1.08571428571429,2.27916666666667,0.435294117647059
2004,2,1.95,2.5,2.26785714285714
2004,3,1.47692307692308,0.0675675675675674,1.40333333333333
2004,4,2.75714285714286,3.286,1.68333333333333
