"year","quarter","president","approval","kj_q","kp_q","kc_q","unemp_k_q","cpi_k_q","newgov"
1998,1,"D Kim","71",0.0533333333333333,3.01752645502645,1.38677248677249,6.46666666666667,8.65185833333333,1
1998,2,"D Kim","62",1.4047619047619,0.331960784313726,4.1665404040404,7.9,7.24728833333333,0
1998,3,"D Kim","56",0.952836052836053,1.21922558922559,2.07638888888889,8.06666666666667,6.959768,0
1998,4,"D Kim","63",1.20550108932462,1.37352272727273,-1.53428571428571,7.63333333333333,1.8658762,0
1999,1,"D Kim","60",0.971111111111111,1.83835005574136,1.48787878787879,7,0.5638291,0
1999,2,"D Kim","52",0.681710022181891,0.723869047619048,3.21752136752137,6.86666666666667,0.596248866666667,0
1999,3,"D Kim","46",-0.568055555555556,3.0975,2.61058201058201,5.46666666666667,1.09825963333333,0
1999,4,"D Kim","50",1.05722222222222,2.05180375180375,2.33305555555556,5.03333333333333,1.67211066666667,0
2000,1,"D Kim","49",1.17154882154882,2.63058031293325,2.53701058201058,4.4,1.55334433333333,0
2000,2,"D Kim","38",3.55555555555556,2.58297334849059,2.19626844890003,4.16666666666667,2.54763166666667,0
2000,3,"D Kim","54",1.25791245791246,2.80188106467176,2.38240740740741,4.23333333333333,2.785932,0
2000,4,"D Kim","30",-0.367307692307692,2.80454545454545,3.34423076923077,4.5,3.281641,0
2001,1,"D Kim","27",-0.190197483675745,1.82444444444444,2.82962962962963,4.16666666666667,4.702473,0
2001,2,"D Kim","29",-1.11951944712311,1.11467727674624,-1.06282372598162,3.8,4.84632966666667,0
2001,3,"D Kim","28",0.304224270353303,2.19647323436797,4.12759259259259,3.7,3.32590166666667,0
2001,4,"D Kim","31",-1.05185185185185,2.93989417989418,3.11111111111111,3.63333333333333,2.80969666666667,0
2002,1,"D Kim","33",0.430476190476191,2.52066666666667,1.93507625272331,3.36666666666667,2.59743733333333,0
2002,2,"D Kim","26",1.14888888888889,0.384187535861699,0.761287878787879,3.16666666666667,2.35940433333333,0
2002,3,"D Kim","28",1.72095238095238,1.27642140468227,-1.48604166666667,3.06666666666667,3.09161533333333,0
2002,4,"D Kim","24",-0.804232804232804,1.18667683873163,1.34861111111111,3.26666666666667,3.81018533333333,0
2003,1,"M Roh","60",0.291812865497076,0.867520442520442,0.501851851851852,3.46666666666667,3.816427,1
2003,2,"M Roh","40",0.191784188034188,1.3970785440613,1.54071895424837,3.6,3.05269166666667,0
2003,3,"M Roh","29",2.12460317460317,0.589204545454545,0.831587301587302,3.73333333333333,3.49294133333333,0
